Player,Team,Age,GP,W,L,Min,Ptts Off TO,2nd Pts,FBPS,PITP,OPP Pts off TO,OPP 2nd Points,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD
Pat Connaughton,POR,24,27,9,18,7.2,0.2,0.2,0.6,0.9,2.5,1.7,1.6,6.1,0.1,0.1,0.5,0.2
Cheick Diallo,NOP,20,9,4,5,10.4,0.8,1,0.6,2,2.9,2.9,3.1,7.8,0.3,0.1,1,1
Andrew Nicholson,WAS,27,28,18,10,8.3,0.4,0.3,0.1,1.6,3.7,3,2.8,7.6,0.2,0.1,1.3,0.5
Boris Diaw,UTA,34,48,29,19,18.2,0.5,0.6,0.3,3,6,4.1,3.5,15.6,0,0.1,1.2,0.9
Salah Mejri,DAL,30,50,19,31,13.3,0.3,0.8,0,2.2,3.8,2.8,2.8,9.4,1,0.1,2.2,1.1
Patrick Patterson,TOR,27,40,24,16,27.3,1.2,1.6,0.3,1.3,7.5,8,5.5,23.6,0.4,0.1,2.1,1
Cole Aldrich,MIN,28,51,19,32,9.3,0.2,0.5,0,1.5,3.5,2.6,2.5,8.7,0.4,0.1,1.6,0.5
Shaun Livingston,GSW,31,51,43,8,17.3,1,0.5,0.6,2.7,6.4,4.6,4.2,15.7,0.2,0.1,1.6,0.8
Shabazz Napier,POR,25,32,12,20,7.7,0.7,0.3,0.5,0.6,2.2,2.1,1.3,5.6,0,0.1,0.6,0.8
Andre Iguodala,GSW,33,54,47,7,25.6,1,0.5,1.3,2.7,9,7.9,7.2,23.9,0.4,0.1,1.2,1.2
Anthony Brown,ORL,24,11,3,8,14.5,0.6,1.5,0.7,1.1,3.5,3.3,3.6,12.5,0.1,0.1,1.4,0.1
Alan Williams,PHX,24,23,5,18,7.2,0.3,1.3,0.3,2.4,1.8,2.6,1.6,6.7,0.6,0.1,1.6,1
Jae Crowder,BOS,26,47,32,15,32.5,2.1,1.5,1.5,3.4,9.8,9.6,8,28.2,0.3,0.1,2.3,1.9
Jason Terry,MIL,39,47,20,27,17.1,0.5,0.2,0.4,0.4,6,4.9,4,14.4,0.3,0.1,1.3,0.4
Adreian Payne,MIN,26,12,4,8,7.7,0.6,0.4,0.2,1.3,3,2.8,2.6,7.5,0.3,0.1,1.8,0.8
Jose Calderon,LAL,35,24,6,18,12.2,0.6,0.5,0.3,0.6,5.5,2.4,5,11.4,0,0.1,0.9,0.3
Nicolas Brussino,DAL,23,36,11,25,6.8,0.1,0.3,0.1,0.2,2.2,1.8,1.5,5.5,0.1,0.1,0.6,0.3
Davis Bertans,SAS,24,48,39,9,11.6,0.8,0.4,0.3,0.8,3.6,2.9,2.6,9.9,0.4,0.1,1.1,0.6
Andrew Bogut,DAL,32,26,8,18,22.4,0.6,1.1,0,2.8,7.2,4.4,5.8,15,1,0.1,3.2,1.1
Tony Snell,MIL,25,54,25,29,28.5,1.4,1.1,0.8,1.7,9.6,8.2,7.2,25.9,0.2,0.1,1.6,0.8
Sasha Vujacic,NYK,32,28,10,18,8.2,0.4,0.3,0.4,0.1,2.5,2.1,2.3,7.5,0.1,0.1,0.8,0.4
Udonis Haslem,MIA,36,15,5,10,8.6,0.3,0.5,0,1.5,3.1,2.9,1.5,9.5,0.1,0.1,1.4,1
Alex Abrines,OKC,23,46,24,22,14,0.7,0.5,0.9,0.7,5.3,3.8,3.2,14.2,0.1,0.1,1.5,0.7
Luke Babbitt,MIA,27,48,23,25,15.7,0.4,0.4,0.1,0.5,4.5,4,3.8,14.4,0.2,0.1,1.7,0.4
Bobby Brown,HOU,32,17,12,5,3,0.1,0.1,0.2,0.2,1.4,1.4,0.6,2.5,0,0.1,0.1,0
Tyus Jones,MIN,20,35,14,21,11.4,0.7,0.1,0.5,0.9,4,3.9,2.8,11,0.1,0.1,0.8,0.9
Dragan Bender,PHX,19,38,11,27,12.7,0.6,0.4,0.6,0.9,4.7,3.7,3.6,10.6,0.5,0.1,1.6,0.3
James Young,BOS,21,20,12,8,7.7,0.2,0.1,0.1,1.1,2.4,2.5,2.7,6.6,0.1,0.1,0.6,0.3
Bryn Forbes,SAS,23,20,15,5,4.7,0,0,0,0,1.7,1.4,1.4,4.7,0,0.1,0.5,0.1
Wesley Johnson,LAC,29,49,29,20,13.2,0.7,0.4,0.5,0.8,3.5,3.3,3.6,11.4,0.5,0,1.4,0.3
Deyonta Davis,MEM,20,25,17,8,7.3,0.5,0.4,0,1.5,2.5,1.9,2,4.9,0.6,0,1.2,0.6
Denzel Valentine,CHI,23,32,15,17,12.5,0.4,0.2,0.3,0.5,4.2,2.8,3.8,11.8,0.1,0,1,0.3
Damjan Rudez,ORL,30,35,10,25,7.6,0.2,0.2,0.2,0.1,1.9,1.9,1.3,6.6,0,0,0.8,0.1
RJ Hunter,CHI,23,3,2,1,3.1,0,0,0,0,1.3,1.3,1,2,0,0,0,0
Steve Novak,MIL,33,8,6,2,2.7,0,0,0,0.3,1.3,1.4,0,2.8,0,0,0.1,0
"Derrick Jones, Jr.",PHX,20,7,1,6,3.4,0,0.6,0.3,1.4,1.3,0.9,0.3,2.9,0.1,0,0.1,0.1
Arinze Onuaku,ORL,29,8,3,5,3.5,0,0,0,0.5,1.5,1.1,0.8,3.3,0.1,0,0.4,0.1
CJ Wilcox,ORL,26,16,6,10,4.7,0,0,0.1,0.1,1.2,1.3,0.6,4.5,0.1,0,0.3,0.4
James Jones,CLE,36,35,23,12,6.8,0.5,0.1,0.3,0.1,2.5,2.3,1.5,5.5,0.2,0,0.6,0.4
Georgios Papagiannis,SAC,19,4,1,3,4.4,0,1,0,1.5,1.5,1.5,1,2.5,0.3,0,0.8,0
Gary Neal,ATL,32,2,1,1,9.2,2,0,0,0,0.5,1.5,1,6,0,0,0.5,1
Joel Anthony,SAS,34,9,7,2,6.2,0.2,0.4,0.2,1.1,1.9,1.9,1.4,6.2,0.2,0,0.4,0.3
Jake Layman,POR,22,24,8,16,6.2,0.4,0.1,0.5,0.5,1.7,1.3,1.3,5,0.1,0,0.6,0.3
Anderson Varejao,GSW,34,14,12,2,6.6,0.1,0.6,0.3,0.6,3.4,2.1,2.2,6.3,0.2,0,1.1,0.7
Christian Wood,CHA,21,3,1,2,5.5,0.7,0,0,0.7,0.7,0.7,1.3,3.3,0.7,0,0,0.3
Archie Goodwin,NOP,22,3,1,2,9.9,1.3,0,0.7,0.7,2.7,3,2.7,12,0.3,0,0.3,2.7
Jarnell Stokes,DEN,23,2,0,2,3.3,1,0.5,0,1,1,2,0,3,0,0,1.5,0.5
Lance Stephenson,MIN,26,10,2,8,21.2,0.7,0.2,1.1,4,6.9,6.6,5.6,19.8,0.1,0,2,1.6
Demetrius Jackson,BOS,22,4,1,3,4.2,0.8,0,0.5,0.5,0.5,1.5,0,2.5,0,0,0,1
Edy Tavares,ATL,24,1,1,0,3.6,0,0,0,2,0,0,0,2,0,0,0,1
Josh Huestis,OKC,25,1,0,1,6.9,0,0,2,2,3,1,6,6,0,0,0,0
Joel Bolomboy,UTA,23,9,6,3,2.3,0.3,0,0.3,0.7,1.4,0.3,0.1,1.1,0.1,0,0.1,0.2
Johnny O'Bryant III,DEN,23,7,2,5,6.6,0.3,0.3,0.6,1.4,2.6,1.1,2.1,7.7,0.1,0,0.6,0.3
Nick Collison,OKC,36,14,5,9,5.8,0.2,0.6,0,0.9,1.6,1.8,1.1,5.4,0.1,0,0.6,0.6
Ronnie Price,PHX,33,2,1,1,3.4,0,0,0,0,1,3,0,4,0,0,0,0.5
Rakeem Christmas,IND,25,7,2,5,3.3,0.4,0.7,0,0.6,0,1,0,2,0.3,0,0.3,0.4
Bruno Caboclo,TOR,21,8,7,1,2.9,0,0.4,0,0,0.9,0.3,1,1.3,0,0,0.4,0
