Player,Team,Age,GP,W,L,Min,Ptts Off TO,2nd Pts,FBPS,PITP,OPP Pts off TO,OPP 2nd Points,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD
Dante Exum,UTA,21,42,25,17,18.6,1.1,0.7,0.8,3.3,6.1,4.3,4.3,15.9,0.2,0.4,2.3,1.3
Spencer Hawes,MIL,28,35,15,20,17.9,0.5,0.9,0.2,4.2,6,4.3,5.9,16.3,0.7,0.4,1.7,1.1
Diamond Stone,LAC,20,7,6,1,3.5,0,0,0,0.3,2.3,1,1.4,3.4,0.1,0.4,0.7,0.3
Kent Bazemore,ATL,27,54,30,24,27.4,2.5,0.9,2.1,3.6,10.1,8.4,7.1,22.9,0.7,0.4,2.2,2
Deron Williams,DAL,32,40,15,25,29.3,2.1,0.6,0.7,3.4,8.4,5.8,7.2,23.4,0.1,0.4,2.4,2.1
DeMarre Carroll,TOR,30,52,30,22,27.3,1.8,1.4,1.7,2.7,8.1,7.2,7,24.3,0.4,0.4,2,1.5
Robert Covington,PHI,26,50,21,29,31.1,2.3,1.6,2.1,3.8,11,8.2,9.6,27.6,0.9,0.4,3,1.7
Omer Asik,NOP,30,31,12,19,15.6,0.2,0.8,0.1,2,5.6,4.1,4.4,14,0.3,0.4,1.6,1.2
Nikola Mirotic,CHI,26,48,24,24,22.5,1.2,1.4,1,2.6,7.7,5.6,5.5,20.8,0.8,0.4,1.8,1.6
Andrew Harrison,MEM,22,53,31,22,21.9,1.3,0.3,0.7,1.8,6.9,5.1,6.1,16.5,0.4,0.4,3,2.3
Zaza Pachulia,GSW,33,44,38,6,18.8,0.7,1,0.7,4,6.6,5,4.9,16.9,0.4,0.4,2.4,2.2
Monta Ellis,IND,31,49,26,23,27.2,1.5,0.1,1.3,3.6,9,8.5,6,23.8,0.4,0.4,2,1.9
Luol Deng,LAL,31,54,18,36,27,1.1,1.4,1.3,3.2,10.6,6.9,9.3,26.6,0.4,0.4,1.1,1.2
Nik Stauskas,PHI,23,54,20,34,27,1.3,1,1.3,2.5,10.2,7.3,8.4,25.2,0.4,0.4,1.9,1.6
George Hill,UTA,30,32,23,9,31.6,2.3,0.9,1.8,5.8,8.3,6.7,7.3,23.5,0.3,0.4,2.5,4.1
Beno Udrih,DET,34,30,15,15,14,0.6,0.5,0.7,2.1,3.6,2.4,2.9,11.5,0,0.4,0.7,1
Tyler Zeller,BOS,27,35,21,14,11.8,0.7,0.8,0.3,2.7,3.6,3.1,2.4,10.9,0.5,0.4,1.3,1.1
Cameron Payne,OKC,22,20,11,9,16,0.9,0.2,0.2,1.5,6.4,3.7,3.4,15.3,0.2,0.4,1.9,0.7
